time,distance_diff,time_diff,speed,moving,breaks
2015-09-13 07:16:40,18.990234375,2,34.2,True,False
2015-09-13 07:16:47,62.58984375,7,32.2,True,False
2015-09-13 07:16:54,57.560546875,7,29.6,True,False
2015-09-13 07:17:02,65.7099609375,8,29.6,True,False
2015-09-13 07:17:09,59.69921875,7,30.7,True,False
2015-09-13 07:17:10,8.3701171875,1,30.1,True,False
2015-09-13 07:17:13,26.0205078125,3,31.2,True,False
2015-09-13 07:17:18,43.7998046875,5,31.5,True,False
2015-09-13 07:17:24,49.5302734375,6,29.7,True,False
2015-09-13 07:17:29,46.2392578125,5,33.3,True,False
2015-09-13 07:17:30,9.7900390625,1,35.2,True,False
2015-09-13 07:17:36,55.25,6,33.2,True,False
2015-09-13 07:17:43,62.400390625,7,32.1,True,False
2015-09-13 07:17:44,9.240234375,1,33.3,True,False
2015-09-13 07:17:51,62.759765625,7,32.3,True,False
2015-09-13 07:17:54,26.4697265625,3,31.8,True,False
2015-09-13 07:18:01,61.98046875,7,31.9,True,False
2015-09-13 07:18:02,9.109375,1,32.8,True,False
2015-09-13 07:18:09,62.140625,7,32.0,True,False
2015-09-13 07:18:10,9.4296875,1,33.9,True,False
2015-09-13 07:18:17,59.5302734375,7,30.6,True,False
2015-09-13 07:18:20,23.8994140625,3,28.7,True,False
2015-09-13 07:18:23,24.4599609375,3,29.4,True,False
2015-09-13 07:18:30,57.0703125,7,29.4,True,False
2015-09-13 07:18:31,8.169921875,1,29.4,True,False
2015-09-13 07:18:34,19.33984375,3,23.2,True,False
2015-09-13 07:18:40,46.6201171875,6,28.0,True,False
2015-09-13 07:18:45,42.9501953125,5,30.9,True,False
2015-09-13 07:18:51,52.5498046875,6,31.5,True,False
2015-09-13 07:18:52,10.5400390625,1,37.9,True,False
2015-09-13 07:18:56,37.6904296875,4,33.9,True,False
2015-09-13 07:18:59,29.859375,3,35.8,True,False
2015-09-13 07:19:00,8.41015625,1,30.3,True,False
2015-09-13 07:19:04,34.2802734375,4,30.9,True,False
2015-09-13 07:19:11,63.009765625,7,32.4,True,False
2015-09-13 07:19:12,6.5302734375,1,23.5,True,False
2015-09-13 07:19:13,7.25,1,26.1,True,False
2015-09-13 07:19:18,38.2099609375,5,27.5,True,False
2015-09-13 07:19:22,29.740234375,4,26.8,True,False
2015-09-13 07:19:28,45.1298828125,6,27.1,True,False
2015-09-13 07:19:31,21.9599609375,3,26.4,True,False
2015-09-13 07:19:39,57.3095703125,8,25.8,True,False
2015-09-13 07:19:48,63.640625,9,25.5,True,False
2015-09-13 07:19:50,13.330078125,2,24.0,True,False
2015-09-13 07:19:55,33.3193359375,5,24.0,True,False
2015-09-13 07:20:00,32.6103515625,5,23.5,True,False
2015-09-13 07:20:05,38.599609375,5,27.8,True,False
2015-09-13 07:20:10,33.8603515625,5,24.4,True,False
2015-09-13 07:20:14,25.0400390625,4,22.5,True,False
2015-09-13 07:20:16,12.990234375,2,23.4,True,False
2015-09-13 07:20:17,6.19921875,1,22.3,True,False
2015-09-13 07:20:20,19.580078125,3,23.5,True,False
2015-09-13 07:20:21,6.16015625,1,22.2,True,False
2015-09-13 07:20:24,19.720703125,3,23.7,True,False
2015-09-13 07:20:28,28.599609375,4,25.7,True,False
2015-09-13 07:20:37,67.3701171875,9,26.9,True,False
2015-09-13 07:20:46,64.689453125,9,25.9,True,False
